video,mean_arc_length_um,std_arc_length_um,count,sem,ci95,length_threshold_um
ch20_URA7_URA8_001_hyperstack_crop_31,2.6863746833361106,2.341391160844066,6,0.9558689387217897,1.8735031198947079,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_32,8.143220954209978,6.346795688996565,44,0.956815450974854,1.8753582839107137,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_33,2.521209407706458,1.4826399166632522,14,0.3962521854363542,0.7766542834552542,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_34,3.4075155808839233,2.6887447058352056,52,0.37286180398158364,0.7308091358039039,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_35,4.1835655926545945,1.9300657448726397,16,0.4825164362181599,0.9457322149875934,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_36,3.3094943850443026,1.9659936023716331,48,0.28376673388858614,0.5561827984216289,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_37,2.6174066615161267,1.1087438292884804,29,0.20588856033144384,0.40354157824962994,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_40,1.7522023776768365,1.8182590425393614,11,0.5482257287067199,1.074522428265171,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_41,4.232122872043597,1.6646297287215677,34,0.28548164326190717,0.5595440207933381,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_42,4.241042026324832,1.4104740562656124,18,0.33245192329103684,0.6516057696504322,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_43,4.8388204943230155,2.2942170733372445,12,0.6622834224353468,1.2980755079732798,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_44,3.9357648971061785,2.03879285721342,8,0.7208221273851529,1.4128113696748998,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_45,5.110977973031536,2.5772308509361608,12,0.7439824627759004,1.4582056270407648,0.6522577197242748
ch20_URA7_URA8_001_hyperstack_crop_46,2.725785293468868,1.690455091819894,14,0.45179312723696624,0.8855145293844539,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_02,5.5922511829436035,3.7502181972081403,23,0.7819745499770347,1.532670117954988,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_03,3.6139955537258355,1.750372030858702,8,0.6188499663097284,1.2129459339670676,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_04,5.6476305467704435,2.0291398976054604,48,0.2928811165264806,0.5740469883919019,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_05,5.627280592204746,3.210484084136376,62,0.40773188641741004,0.7991544973781236,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_06,6.913332241792987,5.361633872368443,18,1.2637492231304048,2.4769484773355934,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_07,2.7159741991884023,2.5916739559983792,11,0.7814190991802431,1.5315814343932765,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_09,2.0913008594803357,1.4988057045005534,8,0.529907838666711,1.0386193637867536,0.6522577197242748
